Name,Age,Gender,Answer,User,Time


yash,21,male,7,predicted,16

fd,20,male,3,new,14

yash,21,male,4,predicted,15

yash,21,male,6,predicted,13

yash,21,male,6,new,13

vishuddhi,21,female,6,predicted,40

vishuddhi,21,female,7,new,15

yash,21,male,6,predicted,15

yash,21,male,6,predicted,17

vishuddhi,15,female,7,new,27

fd,15,other,7,new,19

yash,21,male,238,predicted,49

yash,21,male,97,predicted,19

yash,20,male,8,predicted,50

yash,21,male,82,predicted,24

vishuddhi,21,female,44,new,22

Vish,21,male,7,predicted,83

yash,21,male,6,new,22

ayy,12,male,7,predicted,15

yash,21,male,42,predicted,18

yash,21,male,10,new,15

yash,21,male,30,predicted,18

yash,21,male,38,predicted,19

yash,21,male,10,new,14

vishu,20,female,19,predicted,14

vishu,20,female,22,new,29

yash,21,male,27,predicted,28
khushi,15,female,26,predicted,31
khushi,54,female,21,new,24
mohit,52,male,18,predicted,39
